2026-07-20 16:25:33,140 - syn_flood - INFO - Iniciando ataque SYN Flood contra 192.168.200.2
2026-07-20 16:25:35,070 - syn_flood - INFO - Paquetes enviados: 100, Velocidad: 51.80 paquetes/segundo
2026-07-20 16:25:36,831 - syn_flood - INFO - Paquetes enviados: 200, Velocidad: 54.18 paquetes/segundo
2026-07-20 16:25:38,745 - syn_flood - INFO - Paquetes enviados: 300, Velocidad: 53.52 paquetes/segundo
2026-07-20 16:25:40,672 - syn_flood - INFO - Paquetes enviados: 400, Velocidad: 53.10 paquetes/segundo
2026-07-20 16:25:42,612 - syn_flood - INFO - Paquetes enviados: 500, Velocidad: 52.78 paquetes/segundo
2026-07-20 16:25:44,533 - syn_flood - INFO - Paquetes enviados: 600, Velocidad: 52.66 paquetes/segundo
2026-07-20 16:25:46,444 - syn_flood - INFO - Paquetes enviados: 700, Velocidad: 52.61 paquetes/segundo
2026-07-20 16:25:48,369 - syn_flood - INFO - Paquetes enviados: 800, Velocidad: 52.53 paquetes/segundo
2026-07-20 16:25:50,181 - syn_flood - INFO - Paquetes enviados: 900, Velocidad: 52.81 paquetes/segundo
2026-07-20 16:25:50,603 - syn_flood - INFO - Ataque detenido. Total de paquetes enviados: 925
